German_Headword,English_Meaning,Example_Sentence_DE,Example_Sentence_EN,,YouGlish_Link
"die Hose, -n",trousers / pants,Kann ich die <b>Hose</b> waschen?,Can I wash the trousers?,,https://youglish.com/pronounce/Hose/german
"das Hotel, -s",hotel,Im Urlaub sind wir in einem <b>Hotel</b> am Meer.,On vacation we stay in a hotel by the sea.,,https://youglish.com/pronounce/Hotel/german
"der Hund, -e",dog,Magst du <b>Hunde</b>?,Do you like dogs?,,https://youglish.com/pronounce/Hund/german
der Hunger (kein Pl.),hunger,Ich habe <b>Hunger</b>!,I am hungry!,,https://youglish.com/pronounce/Hunger/german
husten,to cough,Sie <b>hustet</b> seit zwei Tagen.,She has been coughing for two days.,,https://youglish.com/pronounce/husten/german
"die Idee, -n",idea,Hast du eine gute <b>Idee</b>?,Do you have a good idea?,,https://youglish.com/pronounce/Idee/german
immer,always,Frau Bast kommt <b>immer</b> zu spät.,Ms. Bast always arrives too late.,,https://youglish.com/pronounce/immer/german
in (+ Dat./Akk.),in / into,Ich wohne <b>in</b> Wiesbaden.,I live in Wiesbaden.,,https://youglish.com/pronounce/in/german
"die Information, -en",information,Wir haben hier einige wichtige <b>Informationen</b> für Sie.,We have some important information for you here.,,https://youglish.com/pronounce/Information/german
informieren (sich) über (+ Akk.),to inform / find out,Ich möchte mich vor der Reise über das Land <b>informieren</b>.,I would like to inform myself about the country before the trip.,,https://youglish.com/pronounce/informieren/german
"die Insel, -n",island,Rügen ist die größte deutsche <b>Insel</b>.,Rügen is the largest German island.,,https://youglish.com/pronounce/Insel/german
"das Instrument, -e",instrument,Spielen Sie auch ein <b>Instrument</b>?,Do you also play an instrument?,,https://youglish.com/pronounce/Instrument/german
intelligent,intelligent / smart,Einstein war sehr <b>intelligent</b>.,Einstein was very intelligent.,,https://youglish.com/pronounce/intelligent/german
"das Interesse, -n",interest,"Ich habe viele <b>Interessen</b>: Sport, Lesen, Kultur.","I have many interests: sports, reading, culture.",,https://youglish.com/pronounce/Interesse/german
interessieren (sich) für (+ Akk.),to be interested in,Ich <b>interessiere mich</b> für Fußball.,I am interested in football.,,https://youglish.com/pronounce/interessieren/german
interessant,interesting,Ich lese gerade ein <b>interessantes</b> Buch.,I am currently reading an interesting book.,,https://youglish.com/pronounce/interessant/german
international,international,Unser Deutschkurs ist <b>international</b>.,Our German course is international.,,https://youglish.com/pronounce/international/german
das Internet (kein Pl.),internet,Das findest du im <b>Internet</b>.,You can find that on the internet.,,https://youglish.com/pronounce/Internet/german
"das Interview, -s",interview,Im Radio kommt ein <b>Interview</b> mit deinem Lieblingssänger.,An interview with your favorite singer is on the radio.,,https://youglish.com/pronounce/Interview/german
ja,yes / indeed,Sind Sie Herr Watanabe? - <b>Ja</b>.,Are you Mr. Watanabe? - Yes.,,https://youglish.com/pronounce/ja/german
"die Jacke, -n",jacket,Zieh dir eine <b>Jacke</b> an. Es ist kalt.,Put on a jacket. It is cold.,,https://youglish.com/pronounce/Jacke/german
die Jeans (nur Pl.),jeans,Ich mag <b>Jeans</b> lieber als Röcke.,I like jeans better than skirts.,,https://youglish.com/pronounce/Jeans/german
"jeder, -e, -es",each / every,Das Restaurant hat <b>jeden</b> Tag geöffnet.,The restaurant is open every day.,,https://youglish.com/pronounce/jeder/german
jemand,someone / somebody,Hat <b>jemand</b> meinen Stift?,Does someone have my pen?,,https://youglish.com/pronounce/jemand/german
jetzt,now,<b>Jetzt</b> machen wir eine Pause.,Now we are taking a break.,,https://youglish.com/pronounce/jetzt/german
"der Job, -s",job,Jenny hat einen neuen <b>Job</b> bei der Post.,Jenny has a new job at the post office.,,https://youglish.com/pronounce/Job/german
"joggen | joggt, joggte, ist/hat gejoggt",to jog,Ich <b>jogge</b> gern im Park.,I like jogging in the park.,,https://youglish.com/pronounce/joggen/german
"die Jugendherberge, -n",youth hostel,Wir übernachten in einer <b>Jugendherberge</b>.,We are staying overnight in a youth hostel.,,https://youglish.com/pronounce/Jugendherberge/german
"der/die Jugendliche, -n",youth / adolescent,Viele <b>Jugendliche</b> hören den ganzen Tag Musik.,Many young people listen to music all day long.,,https://youglish.com/pronounce/Jugendliche/german
"jung (jünger, am jüngsten)",young,Claudia ist noch so <b>jung</b>.,Claudia is still so young.,,https://youglish.com/pronounce/jung/german
"der Junge, -n",boy,In der Klasse sind 13 <b>Jungen</b> und 15 Mädchen.,In the class there are 13 boys and 15 girls.,,https://youglish.com/pronounce/Junge/german
"der Kaffee, -s",coffee,Zum Frühstück trinke ich immer <b>Kaffee</b>.,For breakfast I always drink coffee.,,https://youglish.com/pronounce/Kaffee/german
"der Kalender, -",calendar,Ich schreibe alle Termine in meinen <b>Kalender</b>.,I write all appointments into my calendar.,,https://youglish.com/pronounce/Kalender/german
"kalt (kälter, am kältesten)",cold,Heute ist es sehr <b>kalt</b>.,Today it is very cold.,,https://youglish.com/pronounce/kalt/german
"die Kamera, -s",camera,Hannes hat eine neue <b>Kamera</b>.,Hannes has a new camera.,,https://youglish.com/pronounce/Kamera/german
kaputt,broken / out of order,Unsere Waschmaschine ist <b>kaputt</b>.,Our washing machine is broken.,,https://youglish.com/pronounce/kaputt/german
"die Karte, -n",card / ticket / map,Ich schreibe meinen Bekannten eine <b>Karte</b> aus dem Urlaub.,I am writing my acquaintances a postcard from vacation.,,https://youglish.com/pronounce/Karte/german
"die Kartoffel, -n",potato,Für Pommes frites braucht man <b>Kartoffeln</b>.,For french fries one needs potatoes.,,https://youglish.com/pronounce/Kartoffel/german
der Käse (kein Pl.),cheese,Isst du lieber <b>Käse</b> oder Wurst?,Do you prefer eating cheese or sausage?,,https://youglish.com/pronounce/Käse/german
"die Kasse, -n",checkout / cash register,Zahlen Sie bitte an der <b>Kasse</b>.,Please pay at the cash register.,,https://youglish.com/pronounce/Kasse/german
"die Katze, -n",cat,Meine Tochter wünscht sich eine <b>Katze</b>.,My daughter wishes for a cat.,,https://youglish.com/pronounce/Katze/german
kaufen,to buy / purchase,Tim <b>kauft</b> sich ein neues Auto.,Tim is buying himself a new car.,,https://youglish.com/pronounce/kaufen/german
"das Kaufhaus, -er",department store,Meine Pullover kaufe ich immer im <b>Kaufhaus</b> Hertie.,I always buy my sweaters at the Hertie department store.,,https://youglish.com/pronounce/Kaufhaus/german
"kein, -e",no / not any,Ich habe heute leider <b>keine</b> Zeit.,Unfortunately I have no time today.,,https://youglish.com/pronounce/kein/german
"der Keller, -",cellar / basement,Bitte bring die Kartoffeln in den <b>Keller</b>!,Please take the potatoes down to the cellar!,,https://youglish.com/pronounce/Keller/german
"kennen | kennt, kannte, hat gekannt",to know / be acquainted with,<b>Kennen</b> Sie diese Frau?,Do you know this woman?,,https://youglish.com/pronounce/kennen/german
kennenlernen,to get to know / meet,Wo habt ihr euch <b>kennengelernt</b>?,Where did you meet each other?,,https://youglish.com/pronounce/kennenlernen/german
die Kenntnisse (nur Pl.),knowledge / skills,Deine Deutsch<b>kenntnisse</b> sind sehr gut!,Your German knowledge is very good!,,https://youglish.com/pronounce/Kenntnisse/german
"die Kette, -n",necklace / chain,Meine Mutter bekommt eine schöne <b>Kette</b> zum Geburtstag.,My mother is getting a beautiful necklace for her birthday.,,https://youglish.com/pronounce/Kette/german
"das Kind, -er",child,Wie viele <b>Kinder</b> haben Sie?,How many children do you have?,,https://youglish.com/pronounce/Kind/german
"der Kindergarten, -",kindergarten / nursery,Die kleine Laura geht schon in den <b>Kindergarten</b>.,Little Laura already attends kindergarten.,,https://youglish.com/pronounce/Kindergarten/german
"das Kino, -s",cinema / movie theater,Gehen wir heute Abend zusammen ins <b>Kino</b>?,Shall we go to the cinema together tonight?,,https://youglish.com/pronounce/Kino/german
"der Kiosk, -e",kiosk / newsstand,Zeitungen kannst du am <b>Kiosk</b> kaufen.,You can buy newspapers at the kiosk.,,https://youglish.com/pronounce/Kiosk/german
"die Kirche, -n",church,Diese <b>Kirche</b> ist fast 800 Jahre alt.,This church is almost 800 years old.,,https://youglish.com/pronounce/Kirche/german
klappen,to work out / succeed,"Können wir uns heute Mittag treffen? Ja, das <b>klappt</b>.","Can we meet at noon today? Yes, that works.",,https://youglish.com/pronounce/klappen/german
klar,clear / sure,Kommst du mit? - <b>Klar</b>!,Are you coming along? Sure!,,https://youglish.com/pronounce/klar/german
"das Klavier, -e",piano,Jakob kann sehr gut <b>Klavier</b> spielen.,Jakob can play the piano very well.,,https://youglish.com/pronounce/Klavier/german
"das Kleid, -er",dress,Julia möchte ein rotes <b>Kleid</b> kaufen.,Julia wants to buy a red dress.,,https://youglish.com/pronounce/Kleid/german
die Kleidung (kein Pl.),clothing / clothes,Wo finde ich <b>Kleidung</b>?,Where can I find clothing?,,https://youglish.com/pronounce/Kleidung/german
klein,small / short,Unsere Wohnung ist sehr <b>klein</b>.,Our apartment is very small.,,https://youglish.com/pronounce/klein/german
"klug (klüger, am klügsten)",smart / clever,Molly ist ein <b>kluges</b> Mädchen.,Molly is a clever girl.,,https://youglish.com/pronounce/klug/german
kochen,to cook / boil,Herr Georgi kann gut <b>kochen</b>.,Mr. Georgi can cook well.,,https://youglish.com/pronounce/kochen/german
"der Koffer, -",suitcase,Hast du den <b>Koffer</b> schon gepackt?,Have you packed the suitcase already?,,https://youglish.com/pronounce/Koffer/german
"der Kollege, -n / die Kollegin, -nen",colleague / coworker,Wie heißt die neue <b>Kollegin</b>?,What is the new female colleague's name?,,https://youglish.com/pronounce/Kollege/german
komisch,strange / funny,Der Film war sehr <b>komisch</b>.,The movie was very funny.,,https://youglish.com/pronounce/komisch/german
"kommen | kommt, kam, ist gekommen",to come,Woher <b>kommen</b> Sie?,Where do you come from?,,https://youglish.com/pronounce/kommen/german
"können | kann, konnte, hat gekonnt",can / to be able to,Ich <b>kann</b> Deutsch und Russisch.,I can speak German and Russian.,,https://youglish.com/pronounce/können/german
"der Kontakt, -e",contact,Ich habe wenig <b>Kontakt</b> zu meinen Kollegen.,I have little contact with my colleagues.,,https://youglish.com/pronounce/Kontakt/german
"das Konto, Konten",account (bank),Das Geld überweisen wir auf Ihr <b>Konto</b>.,We will transfer the money to your account.,,https://youglish.com/pronounce/Konto/german
kontrollieren,to check / control,"Bitte öffnen Sie Ihren Koffer, wir müssen Ihr Gepäck <b>kontrollieren</b>.","Please open your suitcase, we have to inspect your luggage.",,https://youglish.com/pronounce/kontrollieren/german
"das Konzert, -e",concert,Für das <b>Konzert</b> am Sonntag gibt es noch Karten.,There are still tickets available for the concert on Sunday.,,https://youglish.com/pronounce/Konzert/german
"der Kopf, -e",head,Mein <b>Kopf</b> tut weh!,My head hurts!,,https://youglish.com/pronounce/Kopf/german
"der Körper, -",body,"Der Arzt sagt, ich muss etwas für meinen <b>Körper</b> tun.",The doctor says I must do something for my body.,,https://youglish.com/pronounce/Körper/german
die Kosmetik (kein Pl.),cosmetics,<b>Kosmetik</b> können Sie im Erdgeschoss kaufen.,You can buy cosmetics on the ground floor.,,https://youglish.com/pronounce/Kosmetik/german
kosten,to cost,Wie viel <b>kostet</b> das Buch?,How much does the book cost?,,https://youglish.com/pronounce/kosten/german
kostenlos,free of charge,Diese Zeitschrift kostet nichts. Sie ist <b>kostenlos</b>.,This magazine costs nothing. It is free of charge.,,https://youglish.com/pronounce/kostenlos/german
"krank (kränker, am kränksten)",ill / sick,"Ich kann heute nicht zur Arbeit kommen, ich bin <b>krank</b>.","I cannot come to work today, I am sick.",,https://youglish.com/pronounce/krank/german
"das Krankenhaus, -er",hospital,Er hat sich verletzt und muss ins <b>Krankenhaus</b>.,He injured himself and has to go to the hospital.,,https://youglish.com/pronounce/Krankenhaus/german
"die Krankenkasse, -n",health insurance provider,Bei welcher <b>Krankenkasse</b> sind Sie?,Which health insurance company are you with?,,https://youglish.com/pronounce/Krankenkasse/german
"die Krankheit, -en",illness / disease,Welche <b>Krankheit</b> hat Herr Brandner?,What illness does Mr. Brandner have?,,https://youglish.com/pronounce/Krankheit/german
"der Kredit, -e",loan / credit,Ich brauche einen <b>Kredit</b> von der Bank.,I need a loan from the bank.,,https://youglish.com/pronounce/Kredit/german
"die Kreuzung, -en",intersection / crossroads,Fahren Sie an der nächsten <b>Kreuzung</b> rechts.,Turn right at the next intersection.,,https://youglish.com/pronounce/Kreuzung/german
kriegen,to get / receive,Ich <b>kriege</b> 15 Euro pro Stunde für meinen Job.,I get 15 euros per hour for my job.,,https://youglish.com/pronounce/kriegen/german
"der Krimi, -s",crime thriller,Miriam liest gern spannende <b>Krimis</b>.,Miriam likes reading suspenseful crime thrillers.,,https://youglish.com/pronounce/Krimi/german
"die Küche, -n",kitchen,"Ich suche eine neue Wohnung mit drei Zimmern, <b>Küche</b> und Bad.","I am looking for a new apartment with three rooms, kitchen and bathroom.",,https://youglish.com/pronounce/Küche/german
"der Kuchen, -",cake,Er isst sonntags ein Stück <b>Kuchen</b>.,He eats a piece of cake on Sundays.,,https://youglish.com/pronounce/Kuchen/german
kühl,cool / chilly,Es ist <b>kühl</b> draußen. Zieh dir eine Jacke an.,It is chilly outside. Put on a jacket.,,https://youglish.com/pronounce/kühl/german
"der Kühlschrank, -e",refrigerator / fridge,"Haben wir noch Milch? Ja, im <b>Kühlschrank</b>.","Do we still have milk? Yes, in the fridge.",,https://youglish.com/pronounce/Kühlschrank/german
"die Kultur, -en",culture,Jana interessiert sich sehr für <b>Kultur</b>.,Jana is very interested in culture.,,https://youglish.com/pronounce/Kultur/german
kümmern (sich) um (+ Akk.),to take care of,Sonja muss sich um ihre Tochter <b>kümmern</b>.,Sonja has to take care of her daughter.,,https://youglish.com/pronounce/kümmern/german
"der Kunde, -n / die Kundin, -nen",customer / client,"Einen Moment, bitte. Ich habe eine <b>Kundin</b>.","One moment, please. I have a client.",,https://youglish.com/pronounce/Kunde/german
kündigen,to resign / terminate,Meine Arbeit gefällt mir nicht mehr. Ich habe heute <b>gekündigt</b>.,I don't like my job anymore. I resigned today.,,https://youglish.com/pronounce/kündigen/german
"die Kunst, -e",art,Ich verstehe nichts von moderner <b>Kunst</b>.,I know nothing about modern art.,,https://youglish.com/pronounce/Kunst/german
"der Kurs, -e",course / class,Der Deutsch<b>kurs</b> dauert zwei Monate.,The German course lasts two months.,,https://youglish.com/pronounce/Kurs/german
"kurz (kürzer, am kürzesten)",short / brief,Ricardo hat <b>kurze</b> Haare.,Ricardo has short hair.,,https://youglish.com/pronounce/kurz/german
lachen über (+ Akk.),to laugh,Die Kinder <b>lachen</b> über den Witz.,The children laugh at the joke.,,https://youglish.com/pronounce/lachen/german
